#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/biobakery3/bin/metaphlan CC02F_S122_L001_R1_001.fastq.gz,CC02F_S122_L001_R2_001.fastq.gz --bowtie2out CC02F_S122_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 10 --input_type fastq -o CC02F_S122_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#21869421 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	51.69369	
k__Bacteria|p__Bacteroidetes	2|976	23.80845	
k__Bacteria|p__Actinobacteria	2|201174	20.8078	
k__Bacteria|p__Verrucomicrobia	2|74201	3.02209	
k__Bacteria|p__Proteobacteria	2|1224	0.6382	
k__Bacteria|p__Synergistetes	2|508458	0.02977	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.3857	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.80845	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	14.70673	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.04633	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.39304	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.02209	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.64498	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.41886	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.16815	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.15914	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06284	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.04121	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.02977	
k__Bacteria|p__Actinobacteria|c__CFGB9370	2|201174|	0.02845	
k__Bacteria|p__Firmicutes|c__CFGB2882	2|1239|	0.02666	
k__Bacteria|p__Actinobacteria|c__CFGB25442	2|201174|	0.0263	
k__Bacteria|p__Firmicutes|c__CFGB3053	2|1239|	0.01034	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00998	
k__Bacteria|p__Firmicutes|c__CFGB2916	2|1239|	0.00797	
