#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/biobakery3/bin/metaphlan CC32C_S228_L001_R1_001.fastq.gz,CC32C_S228_L001_R2_001.fastq.gz --bowtie2out CC32C_S228_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 10 --input_type fastq -o CC32C_S228_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#13654660 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	93.95826	
k__Bacteria|p__Actinobacteria	2|201174	3.22261	
k__Bacteria|p__Proteobacteria	2|1224	1.59458	
k__Bacteria|p__Bacteroidetes	2|976	1.22455	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	83.72511	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.51975	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.7842	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.77093	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.45986	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.43841	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.3543	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.22455	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.45226	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.24027	
k__Bacteria|p__Firmicutes|c__CFGB24517	2|1239|	0.02796	
k__Bacteria|p__Firmicutes|c__CFGB12952	2|1239|	0.00239	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	74.62201	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	9.1031	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.51975	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.7842	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.77093	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.45986	
