#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/biobakery3/bin/metaphlan CC30B_S215_L001_R1_001.fastq.gz,CC30B_S215_L001_R2_001.fastq.gz --bowtie2out CC30B_S215_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 10 --input_type fastq -o CC30B_S215_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#31951410 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.01501	
k__Eukaryota	2759	0.98499	
k__Bacteria|p__Firmicutes	2|1239	51.27068	
k__Bacteria|p__Proteobacteria	2|1224	27.0573	
k__Bacteria|p__Actinobacteria	2|201174	15.62303	
k__Bacteria|p__Fusobacteria	2|32066	3.93957	
k__Eukaryota|p__Ascomycota	2759|4890	0.98499	
k__Bacteria|p__Bacteroidetes	2|976	0.63312	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.4913	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	31.86323	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	26.85439	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	13.54466	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.14727	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	6.57286	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	3.93957	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.07837	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	1.4773	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.98499	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.63312	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.45445	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.17439	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.15547	
k__Bacteria|p__Firmicutes|c__CFGB1764	2|1239|	0.05099	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02853	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.0252	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355	2|95818|	0.01087	
k__Bacteria|p__Firmicutes|c__CFGB1394	2|1239|	0.0025	
k__Bacteria|p__Firmicutes|c__CFGB1762	2|1239|	0.00106	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4356	2|95818|	0.00079	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	31.03154	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	23.5384	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	11.14569	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	9.60133	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	6.50965	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	3.93957	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	3.31599	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	1.84019	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.80629	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.75105	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	1.4773	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.98499	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.83169	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.63312	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.45445	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.32732	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.17439	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.15547	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0.10544	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.06321	
k__Bacteria|p__Firmicutes|c__CFGB1764|o__OFGB1764	2|1239||	0.05099	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.04752	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.02853	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales	2|95818|2093818|2093825	0.0252	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355|o__OFGB4355	2|95818||	0.01087	
k__Bacteria|p__Firmicutes|c__CFGB1394|o__OFGB1394	2|1239||	0.0025	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00158	
